Year	Lat	Lon	Depth	Mag
1974.579452	36.36	-89.28	5	1.6
1974.594292	36.25	-89.51	5	1.8
1974.602511	36.8	-89.01	5	2.5
1974.602511	36.75	-89.06	5	1.9
1974.607991	36.54	-89.69	5	1.4
1974.607991	36.8	-89.43	5	2
1974.624429	36.02	-89.9	5	1.6
1974.624429	36.23	-89.35	5	1.6
1974.632648	36.29	-89.53	5	2.2
1974.635388	36.38	-89.54	5	1.8
1974.635388	36.59	-89.61	5	1.1
1974.638128	36.66	-90.69	5	1.6
1974.640868	37.3	-90.46	5	1.6
1974.640868	36.27	-89.48	5	1.4
1974.640868	36.32	-89.58	5	1.3
1974.643607	36.27	-89.49	5	1.5
1974.646347	36.58	-89.74	5	1.4
1974.649087	37.97	-90.36	5	1.7
1974.649087	36.52	-89.69	5	1.5
1974.649087	36.45	-89.56	5	1.6
1974.654566	36.19	-89.43	5	1.4
1974.654566	37.51	-90.9	5	2.1
1974.657306	37.61	-89.92	5	1.7
1974.662785	37.88	-88.69	5	1.9
1974.665525	37.12	-89.12	5	1.7
1974.668265	35.8	-90.1	5	1.8
1974.668265	37.25	-89.12	5	1.8
1974.669406	36.59	-89.6	5	1.9
1974.669406	38.31	-90.57	6	2.7
1974.672146	36.41	-89.49	5	1.2
1974.674886	36.74	-89.47	5	1.4
1974.683105	36.65	-89.57	5	1.4
1974.683105	36.52	-89.6	5	1.4
1974.685845	35.98	-89.79	5	1.3
1974.688584	36.62	-89.61	5	1.6
1974.688584	36.36	-89.51	5	1.5
1974.691324	38.14	-90.15	5	2.3
1974.691324	36.49	-89.54	5	1.5
1974.691324	36.36	-89.5	5	1.6
1974.694064	35.77	-90.15	5	2.2
1974.696804	36.82	-91.29	5	3.6
1974.696804	36.82	-91.29	5	2.3
1974.696804	36.47	-89.5	5	1.6
1974.705023	36.45	-89.76	5	1
1974.705023	36.66	-89.6	5	1.2
1974.705023	35.78	-90.12	5	1.6
1974.705023	36.67	-89.76	5	1.2
1974.707763	35.88	-89.93	5	1.9
1974.707763	36.25	-89.48	5	1.4
1974.710502	36.15	-89.7	5	1.6
1974.726941	38.21	-89.75	5	2.5
1974.73516	36.27	-89.43	5	1.1
1974.73516	36.34	-89.56	5	1.2
1974.7379	36.07	-89.87	5	1.8
1974.7379	36.28	-89.52	5	1
1974.7379	36.34	-89.53	5	1.4
1974.7379	36.68	-89.52	5	2.6
1974.751598	36.87	-90.09	5	0.9
1974.766438	36.27	-89.52	5	1.6
1974.769178	36.58	-89.65	5	1.1
1974.769178	36.54	-89.78	5	1.4
1974.769178	36.62	-89.78	5	1
1974.771918	36.5	-89.55	5	1.4
1974.771918	36.47	-89.55	5	2.2
1974.774658	36.35	-91.29	5	2.3
1974.777397	36.57	-89.66	5	1.3
1974.780137	36.56	-89.68	5	1.6
1974.791096	36.5	-89.54	5	1.7
1974.793836	36.65	-89.57	5	1.4
1974.793836	36.27	-89.46	5	1.1
1974.799315	35.9	-90	5	2.4
1974.802055	36.55	-89.61	5	1.2
1974.802055	36.4	-89.82	5	1.2
1974.802055	36.17	-89.74	5	1.6
1974.804795	36.3	-89.46	5	1.3
1974.815753	36.27	-89.43	5	1.6
1974.818493	38.15	-90.43	5	1.3
1974.823973	38.7	-90.56	5	1.1
1974.823973	38.71	-90.54	5	1.1
1974.836073	37.01	-90.18	5	1.2
1974.836073	36.06	-89.93	5	2.7
1974.838813	36.38	-89.53	5	1.3
1974.841553	36.43	-89.63	12	1.6
1974.844292	36.49	-89.52	5	1.8
1974.849772	36.21	-89.72	5	2.3
1974.857991	37.48	-89.87	5	1.5
1974.857991	36.51	-89.56	5	1.6
1974.871689	36.21	-89.52	5	1.8
1974.885388	36.16	-89.48	5	1.7
1974.899087	36.53	-89.57	5	1.4
1974.904566	36.3	-89.5	5	1.5
1974.915525	36.31	-89.51	5	1.6
1974.935845	35.95	-89.98	5	2.5
1974.938584	36.92	-89.21	5	1.5
1974.944064	36.3	-89.59	5	1.5
1974.946804	36.56	-89.73	5	1.2
1974.955023	37.74	-88.45	5	1.9
1974.955023	36.5	-89.45	12	3.2
1974.957763	36.49	-89.56	5	1.7
1974.957763	36.52	-89.54	5	1.2
1974.957763	36.54	-89.59	5	1.1
1974.965982	35.97	-89.43	5	1.8
1974.968721	35.8	-90.6	5	1.9
1974.968721	35.7	-90.5	5	1.6
1974.968721	36.56	-89.47	5	1.3
1974.971461	36.65	-89.49	5	1.4
1974.974201	36.68	-89.77	5	1.1
1974.98242	36.99	-90.35	5	1.9
1974.98242	36.94	-88.93	5	1.1
1974.990639	36.95	-88.9	5	1.1
1974.996119	35.98	-90.2	5	1.6
1974.998858	38.85	-90.35	5	1.5
1974.998858	36.35	-89.6	5	1
1975.00274	36.55	-89.57	8	2
1975.008219	36.3	-89.43	5	1.6
1975.013699	36.29	-89.5	5	1.8
1975.016438	36.56	-89.63	5	1.3
1975.016438	36.4	-89.42	5	1.4
1975.016438	36.53	-89.54	5	1.5
1975.019178	36.29	-89.45	5	1.8
1975.024658	35.53	-89.97	5	2.4
1975.035616	36.8	-91.7	5	2.8
1975.038356	36.47	-89.56	7	1.8
1975.038356	38.01	-89.83	5	2
1975.041096	36.28	-89.57	5	2.2
1975.043836	36.31	-89.52	5	1.6
1975.046575	36.24	-89.56	5	1.2
1975.046575	36.32	-89.51	5	1.1
1975.049315	38.6	-90.9	5	1.3
1975.057534	37	-89.8	5	1.5
1975.060274	36.58	-89.84	5	1
1975.060274	36.11	-89.51	5	1.8
1975.060274	36.46	-89.52	5	1.8
1975.065753	38.01	-90.48	21	1.7
1975.068493	36.7	-92	5	1.9
1975.068493	35.84	-90.02	5	2.4
1975.068493	36.28	-89.47	10	2.2
1975.068493	36.54	-89.57	5	1.6
1975.071233	36.54	-89.59	5	1.3
1975.076712	36.29	-89.52	5	1.3
1975.076712	36.28	-89.51	5	1.4
1975.076712	36.26	-89.5	5	1.1
1975.079452	36.31	-89.38	5	1.4
1975.088813	37.44	-89.02	5	1.4
1975.088813	36.52	-89.55	5	1.7
1975.094292	36.58	-89.63	5	1.1
1975.094292	36.28	-89.46	5	2.1
1975.094292	36.55	-89.59	5	1.8
